form,S_00,S_1,S_2,O_1,O_2,O_2_1,O_3,O_4,O_5,O_6,O_7_1,O_7_2,O_7_3,O_7_4,O_8,O_9,O_10,O_10_1,O_10_2,O_10_3,O_10_4,O_10_5,O_10_6,O_11,O_11_1,O_11_2,O_11_3,O_11_4,O_11_5,O_11_6,O_11_7,O_11_8,O_12,O_12c,O_13,O_13c,O_14,O_15,O_16_1,O_16_2,O_16_3,O_16_4,O_16_5,O_16_6,O_16_7,O_16_8,O_16_9,O_17,O_17_1,O_17_2,O_17_3,O_17_4,O_17_5,O_18,O_19,O_19_1,O_19_2,O_19_3,O_19_4,O_19_5,O_19_6,O_19_7,O_19_8,O_19_9,O_19_10,O_19_11,O_20,O_20_1,O_20_2,O_20_3,O_20_4,O_20_5,O_20_6,O_20_7,O_20_8,O_21,O_22,O_23,O_24,O_25_1,O_25_2,O_25_3,O_25_4,O_26_1,O_26_2,O_27,O_28,O_28_1,O_28_2,O_28_3,O_28_4,O_28_5,O_28_6,O_28_7,O_28_8,O_29,O_30,O_31,O_32,O_33_1,O_33_2,O_34_1,O_34_2,O_35,O_36_1,O_36_2,O_36_3,O_37_1,O_37_2,O_37_3,O_37_4,O_37_5,O_37_6,O_38_1,O_38_2,O_38_3,O_38_4,O_38_5,O_38_6,O_38_7,O_38_8,O_38_9,O_39,O_40,O_41,O_42,O_42_1,O_42_2,O_42_3,O_42_4,O_43_1,O_43_2,O_43_3,O_43_4,O_43_5,O_43_6,O_43_7,O_43_8,O_43_9,O_44_1,O_44_2,O_44_3,O_44_4,O_44_5,O_44_6,O_44_7,O_45,O_46,O_47,O_48,O_49,O_50,O_51,O_52,O_53,O_54,O_55,O_56,O_57,O_57c,O_58,O_59,O_60_1,O_60_2,O_60_3,O_60_4,O_60_5,O_60_6,O_60_7,O_60_8,O_60_9,O_60_10,O_61_1,O_61_2,O_61_3,O_61_4,O_61_5,O_62_2,O_62_1,O_62_3,O_62_4,O_62_5,O_62_6,O_63,O_64,O_65,O_66_0,O_66_1,O_66_2,O_66_3,O_66_4,O_66_5,O_66_6,O_66_7,O_66_7c,O_67,O_68,O_69,O_70_1,O_70_2,O_70_3,O_70_4,O_71_1,O_71_2,O_71_3,O_71_4,O_72_1,O_72_2,O_72_3,O_72_4,O_72_5,O_72_6,O_72_7,O_72_7c,O_73,O_74,O_75,O_76,O_77,O_78,O_79,O_80,O_81_1,O_81_2,O_81_3,O_81_4,O_81_5,O_81_6,O_81_7,O_82_1,O_82_2,O_82_3,O_82_4,O_82_5,O_82_6,O_82_7,O_83_1,O_83_2,O_84,O_85,O_86,O_87,O_88,O_88c,O_89,O_90
62,2,7,1007010,CL8272C71,5866886,3017004705,GRUPO GEAMBIENTAR,MANEJO SALUDABLE Y ECONÓMICO DE LOS RESIDUOS SÓLIDOS,4,2,0,0,3,1,2,-88,2,-88,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,2,-88,2,-88,JAC biblioteca la Quintana,cr 74 8304,5,5,3,3,1,5,5,4,5,1,1,2,2,1,2,2,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,"vecino ""educador""",1,2,2,1,1,2,2,2,2,5,5,"PROBLEMA DE BASURA, RECICLAJE, HUERTAS ECOLOLOGICA",10,1,2,2,4,1,8,2,1,2,1,1,2,2,2,2,NO HAY OTRAS CAUSAS DE CONFLICTO,"ABONOS ECOLOGICOS, HUERTAS COMUNITARIAS","Secretaria de medio ambiente, Area metro",Jardin Botanico,"Huerteros de Medellin, Aliados por la Paz, jardin Botanico",6,3,2,3,2,10,12,14,2,2,2,2,2,NINGUN OTRO,1,2,1,2,2,2,2,2,2,2,3,2,2,-88,-88,-88,-88,1,1,1,1,2,1,1,1,1,2,3,3,2,3,1,3,3,0,0,1,2,1,Aprovechamiento de residuos organicos,0,manejo saludable de los residuos solidos,2,-88,-88,-88,,2,2,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,PQRS,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,"TIEMPO DE EJECUCIÓN, UNIDAD QUE EJECUTA",3,3,3,2,3,5,2,2,4,4,4,3,3,1,3,4,4,4,3,3,2,3,7,8,0,0,0,68,1,,2,0
63,2,2,1002009,CRA46AN9952INT116,4897563,3117584017,COLECTIVO DE MUJERES MARIPOSAS VALIENTES,DERECHOS DE LAS MUJERES,16,16,2,2,6,6,2,-88,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,-88,2,-88,CASA PARA EL ENCUENTRO EDUARDO GALEANO,ESTA EN VILLA DEL SOCORRO,5,5,3,5,3,5,5,5,1,2,-88,-88,-88,-88,-88,2,1,2,2,2,2,2,2,2,1,1,2,NINGUNO,1,2,1,2,1,2,2,2,2,16,8,FEMINICIDIOS Y VIOLENCIA CONTRA LAS MUJERES,6,2,1,2,3,1,8,1,1,2,2,1,2,2,1,2,NO HAY OTRAS CAUSAS DE CONFLICTO,LA INCLUSION Y LA INFORMACION A TIEMPO DE LOS PROYECTOS A EJECTURARSE,"SECRETARIA DE LAS MUJERES, SECRETARIA DE INCLUSION SOCIAL Y PARTICIPACION",DIALOGOS SOCIALES DE PARTICIPACION,"CORORACION VAMOS MUJER, MESA DE DERECHOS HUMANOS, CONVIVAMOS,",3,5,2,5,2,3,4,14,2,1,1,2,2,NINGUN OTRO,2,1,2,2,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,3,1,2,1,2,2,1,3,1,1,1,1,1,1,2,6,4,2,-88,12,"PREVENCION DE LA VIOLENCIA CONTRA LAS MUJERES, DEFENSA DE LOS DERECHOS DE LAS MUJERES Y LGBTI",3,ORGANIZAR LA MESA O LA RED DE MUJERES DE LA COMUNA,1,-98,QUE LA COMUNIDAD SE ENTERE COMO FUERON INVERTIDOS LOS RECURSOS PÚBLICOS,2,-88,1,2,2,2,2,2,2,2,1,2,1,2,3,2,1,2,1,3,3,3,3,3,3,2,2,1,2,1,2,2,2,2,2,2,-88,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,NINGUN OTRO,4,3,5,5,2,4,3,3,3,1,1,2,3,2,3,4,3,4,3,3,4,4,3,2,2,6,0,47,2,-88,1,3
64,2,12,1012004,CARRERA9044A64,9999999,3233612729,LA TRIBU AGENCIA DE COMUNICACIONES,AGENCIAS DE DESARROLLO DE ESTRATEGIAS DE COMUNICACIÓN E INNOVACIÓN SOCIAL PARA LA PARTICIPACIÓN,6,4,0,6,0,0,1,SECRETARÍA DE JUVENTUD Y CULLTURA,2,-88,-88,-88,-88,-88,-88,1,2,1,2,2,1,2,1,2,2,-88,2,-88,"Biblioteca La Floresta, Biblioteca San Javier, Sede Social La América",Sede Social La América,5,5,3,5,1,5,5,5,4,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,NINGUNO,2,-88,-88,-88,-88,-88,-88,-88,-88,5,400,Empoderamiento Juvenil para transformar los territorios desde sus gustos y quehaceres,12,3,3,4,4,1,8,1,1,2,1,2,2,2,2,1,NO HAY OTRAS CAUSAS DE CONFLICTO,"Eventos de ámbito cultural y artístico, procesos formativos direccionados a públicos específicos",Sec. de Juventud - JAL - JAC América,Mesa de Articulación Juvenil Comuna 12 - Consejo Zona 4 de Cultura - Presupuesto Participativo,Corporación Ciudad para Todos - Global Shapers Medellín - Planet Rock Discomóvil,6,5,1,2,2,8,8,8,2,1,2,2,2,NINGUN OTRO,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,3,3,2,2,2,2,2,3,1,3,2,1,1,1,1,1,2,1,1,1,25,7,"Comunicaciones, empoderamiento juvenil, emprendimiento, innovación social",15,"Comunicaciones, empoderamiento juvenil, emprendimiento, innovación social",1,-98,"Transparencia, Engagement con los publicos y posicionamiento de marca",1,Propios,1,1,2,2,3,3,3,3,2,4,2,3,1,1,3,1,3,4,3,1,3,1,3,1,2,1,2,1,2,2,2,2,2,1,TODO LO QUE SE OFERTA PARA BENEFICIO DE LA COMUNID,3,3,3,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,NINGUN OTRO,3,3,2,3,2,3,3,2,4,4,4,3,4,1,3,4,2,4,1,4,1,3,7,8,0,0,1,28,1,,1,1
65,2,16,1016019,CALLE32CNO7831,2387620,3164045928,JAC DE BELEN PARQUE,NUESTRA JAC PARA EL SERVICIO DE LA COMUNIDAD.,142,70,5,22,50,40,1,LA ALCALDIA Y UNIVERSIDADES.,1,1,2,2,2,1,2,1,2,1,2,1,1,2,1,1,2,-88,2,-88,"ESCUELAS, PARQUE BIBLIOTECA. ETC.","JAC, PARQUE BIBLIOTECA Y EL PREVENTORIO.",4,4,4,3,2,5,4,3,3,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,NINGUNO,1,2,1,2,2,2,1,2,2,10,60,"LAS PERSONAS AFILIADAS SE RETIRAN PORQUE NO LES INTERESA ,O PORQUE CAMBIAN DE BARRIO.",10,3,3,4,4,1,8,1,1,2,1,2,2,1,2,2,NO HAY OTRAS CAUSAS DE CONFLICTO,EL MEDIO AMBIENTE Y SEGURIDAD.,"ALCALDIA, SECRETARIAS.",CONSEJOS CIUDADANOS. CONSEJOS LOCALES.,LA POLICIA Y DEL MEDIO AMBIENTE.,2,6,4,2,1,12,13,14,1,2,2,2,1,NINGUN OTRO,2,2,2,1,2,2,1,2,2,1,2,2,1,1,2,2,1,3,3,3,3,2,3,3,3,3,3,3,3,3,1,1,3,2,15,60,1,20,1,SON TEMAS DE SEGURIDAD Y DEL PLAN DE DESARROLLO SOCIAL.,7,EN PROYECTOS COMUNITARIOS EN EMPLEO Y SALUD.,1,-98,ES UN BALANCE DE TODO LO QUE SE HA ECHO EN EL AÑO.,2,-88,2,2,5,4,2,3,3,3,3,3,3,4,3,2,3,2,3,3,3,2,3,2,3,5,2,1,2,1,2,2,2,2,2,1,REUNIONES Y EVENTOS.,2,2,3,2,2,1,2,2,2,2,1,1,2,1,2,1,2,1,NINGUN OTRO,3,3,4,3,2,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,7,8,0,80,40,65,1,,1,3
66,2,7,1007010,CL8272C71,5866886,3017004705,GRUPO GEAMBIENTAR,MANEJO SALUDABLE Y ECONÓMICO DE LOS RESIDUOS SÓLIDOS,4,2,0,0,3,1,2,-88,2,-88,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,2,-88,2,-88,JAC biblioteca la Quintana,cr 74 8304,5,5,5,3,3,5,5,4,5,1,1,2,2,1,2,2,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,"vecino ""educador""",1,2,2,1,1,2,2,2,2,5,5,"PROBLEMA DE BASURA, RECICLAJE, HUERTAS ECOLOLOGICA",10,1,2,2,4,1,8,2,1,2,1,1,2,2,2,2,NO HAY OTRAS CAUSAS DE CONFLICTO,"ABONOS ECOLOGICOS, HUERTAS COMUNITARIAS","Secretaria de medio ambiente, Area metro",Jardin Botanico,"Huerteros de Medellin, Aliados por la Paz, jardin Botanico",6,5,2,5,2,10,12,14,2,2,2,2,2,NINGUN OTRO,1,2,1,2,2,2,2,2,2,2,3,2,2,-88,-88,-88,-88,1,1,1,1,2,1,1,1,1,2,3,3,2,3,1,3,3,0,0,1,2,1,Aprovechamiento de residuos organicos,0,manejo saludable de los residuos solidos,2,-88,-88,-88,,2,2,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,PQRS,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,"TIEMPO DE EJECUCIÓN, UNIDAD QUE EJECUTA",3,3,3,2,3,5,2,2,4,4,4,3,3,1,3,4,4,4,3,3,2,3,7,8,0,0,0,68,1,,2,0
67,2,2,1002009,CRA46AN9952INT116,4897563,3117584017,COLECTIVO DE MUJERES MARIPOSAS VALIENTES,DERECHOS DE LAS MUJERES,16,16,2,2,6,6,2,-88,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,-88,2,-88,CASA PARA EL ENCUENTRO EDUARDO GALEANO,ESTA EN VILLA DEL SOCORRO,5,5,5,5,5,5,5,5,1,2,-88,-88,-88,-88,-88,2,1,2,2,2,2,2,2,2,1,1,2,NINGUNO,1,2,1,2,1,2,2,2,2,16,8,FEMINICIDIOS Y VIOLENCIA CONTRA LAS MUJERES,6,2,1,2,3,1,8,1,1,2,2,1,2,2,1,2,NO HAY OTRAS CAUSAS DE CONFLICTO,LA INCLUSION Y LA INFORMACION A TIEMPO DE LOS PROYECTOS A EJECTURARSE,"SECRETARIA DE LAS MUJERES, SECRETARIA DE INCLUSION SOCIAL Y PARTICIPACION",DIALOGOS SOCIALES DE PARTICIPACION,"CORORACION VAMOS MUJER, MESA DE DERECHOS HUMANOS, CONVIVAMOS,",3,5,2,3,2,3,4,14,2,1,1,2,2,NINGUN OTRO,2,1,2,2,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,3,1,2,1,2,2,1,3,1,1,1,1,1,1,2,6,4,2,-88,12,"PREVENCION DE LA VIOLENCIA CONTRA LAS MUJERES, DEFENSA DE LOS DERECHOS DE LAS MUJERES Y LGBTI",3,ORGANIZAR LA MESA O LA RED DE MUJERES DE LA COMUNA,1,-98,QUE LA COMUNIDAD SE ENTERE COMO FUERON INVERTIDOS LOS RECURSOS PÚBLICOS,2,-88,1,2,2,2,2,2,2,2,1,2,1,2,3,2,1,2,1,3,3,3,3,3,3,2,2,1,2,1,2,2,2,2,2,2,-88,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,NINGUN OTRO,4,3,5,5,2,4,3,3,3,1,1,2,3,2,3,4,3,4,3,3,4,4,3,2,2,6,0,47,2,-88,1,3
68,2,12,1012004,CARRERA9044A64,9999999,3233612729,LA TRIBU AGENCIA DE COMUNICACIONES,AGENCIAS DE DESARROLLO DE ESTRATEGIAS DE COMUNICACIÓN E INNOVACIÓN SOCIAL PARA LA PARTICIPACIÓN,6,4,0,6,0,0,1,SECRETARÍA DE JUVENTUD Y CULLTURA,2,-88,-88,-88,-88,-88,-88,1,2,1,2,2,1,2,2,1,2,-88,2,-88,"Biblioteca La Floresta, Biblioteca San Javier, Sede Social La América",Sede Social La América,5,5,5,5,4,5,5,5,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,NINGUNO,2,-88,-88,-88,-88,-88,-88,-88,-88,5,400,Empoderamiento Juvenil para transformar los territorios desde sus gustos y quehaceres,12,3,3,4,4,1,8,1,1,2,1,2,2,2,2,1,NO HAY OTRAS CAUSAS DE CONFLICTO,"Eventos de ámbito cultural y artístico, procesos formativos direccionados a públicos específicos",Sec. de Juventud - JAL - JAC América,Mesa de Articulación Juvenil Comuna 12 - Consejo Zona 4 de Cultura - Presupuesto Participativo,Corporación Ciudad para Todos - Global Shapers Medellín - Planet Rock Discomóvil,6,5,1,2,2,8,6,8,2,1,2,2,2,NINGUN OTRO,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,3,3,2,2,2,2,2,3,1,3,2,1,1,1,1,1,2,1,1,1,25,7,"Comunicaciones, empoderamiento juvenil, emprendimiento, innovación social",15,"Comunicaciones, empoderamiento juvenil, emprendimiento, innovación social",1,-98,"Transparencia, Engagement con los publicos y posicionamiento de marca",1,Propios,1,1,2,2,3,3,3,3,2,4,2,3,1,1,3,1,3,4,3,1,3,1,3,1,2,1,2,1,2,2,2,2,2,1,TODO LO QUE SE OFERTA PARA BENEFICIO DE LA COMUNID,3,3,3,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,NINGUN OTRO,3,3,2,3,2,3,3,2,4,4,4,3,4,1,3,4,2,4,1,4,1,3,7,8,0,0,1,28,1,,1,1
69,2,16,1016019,CALLE32CNO7831,2387620,3164045928,JAC DE BELEN PARQUE,NUESTRA JAC PARA EL SERVICIO DE LA COMUNIDAD.,142,70,5,22,50,40,1,LA ALCALDIA Y UNIVERSIDADES.,1,1,2,2,2,1,2,1,2,1,2,1,1,2,1,1,2,-88,2,-88,"ESCUELAS, PARQUE BIBLIOTECA. ETC.","JAC, PARQUE BIBLIOTECA Y EL PREVENTORIO.",4,4,5,3,1,5,4,3,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,NINGUNO,1,2,1,2,2,2,1,2,2,10,60,"LAS PERSONAS AFILIADAS SE RETIRAN PORQUE NO LES INTERESA ,O PORQUE CAMBIAN DE BARRIO.",10,3,3,4,4,1,8,1,1,2,1,2,2,1,2,2,NO HAY OTRAS CAUSAS DE CONFLICTO,EL MEDIO AMBIENTE Y SEGURIDAD.,"ALCALDIA, SECRETARIAS.",CONSEJOS CIUDADANOS. CONSEJOS LOCALES.,LA POLICIA Y DEL MEDIO AMBIENTE.,2,6,4,1,1,12,13,14,1,2,2,2,1,NINGUN OTRO,2,2,2,1,2,2,1,2,2,1,2,2,1,1,2,2,1,3,3,3,3,2,3,3,3,3,3,3,3,3,1,1,3,2,15,60,1,20,1,SON TEMAS DE SEGURIDAD Y DEL PLAN DE DESARROLLO SOCIAL.,7,EN PROYECTOS COMUNITARIOS EN EMPLEO Y SALUD.,1,-98,ES UN BALANCE DE TODO LO QUE SE HA ECHO EN EL AÑO.,2,-88,2,2,5,4,2,3,3,3,3,3,3,4,3,2,3,2,3,3,3,2,3,2,3,5,2,1,2,1,2,2,2,2,2,1,REUNIONES Y EVENTOS.,2,2,3,2,2,1,2,2,2,2,1,1,2,1,2,1,2,1,NINGUN OTRO,3,3,4,3,2,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,7,8,0,80,40,65,1,,1,3
70,2,3,1003014, CR 28 93 B 60,9999999,3017979220,SHIR STAR,INCLUSION PQRA LA NIÑEZ Y LA JUVENTUD,30,30,19,10,1,0,2,-88,2,-88,-88,-88,-88,-88,-88,1,1,1,2,1,1,1,1,2,2,-88,2,-88,"LA CALLE ,LOCAL PRESTADO",CR28 #93B 60,5,5,5,5,5,5,5,5,5,1,2,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,JAC,1,1,2,2,2,2,2,2,NINGUNO,30,400,"FALTA DE OPORTUNIDADES , EXCLUSION",5,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,LA ADMINIDTRACION CREEN QUE LES REGALAN ALGO ,EL VOTO DERECHO DE PETICION,"SECRRTARIA DE PARTICIPACION ,  SECRETARIA DE JUVENTUD",NINGUNO,MESA DE JUVENTUD DE LA COMUNA 3 Y DE LA COMUNA 1,3,1,1,2,2,3,9,12,2,1,2,2,1,NINGUN OTRO,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,2,3,3,1,2,1,2,2,1,3,3,4,1,3,3,3,1,10,2,1,10,10,HACER ACCIONES DE INCIDOENCIA A LA ARTICULACION,4,PLANES DE TRABAJO,2,-88,-88,-88,NINGUNO,2,2,1,1,2,3,3,3,1,3,2,3,1,5,4,4,3,3,1,4,4,4,3,2,1,2,2,1,1,1,1,1,2,1,CONVOCATORIAS CULTURALED,2,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,NINGUN OTRO,3,3,5,1,1,4,2,1,4,1,1,1,4,2,1,1,1,1,1,1,4,1,4,2,4,15,0,26,2,-88,4,4
71,2,16,1016001, CR 65 A 32 B 53 IN,9999999,3137519753,PLUG-HEAD ESCUELA DE MUSICA Y DANZA,NO TENGO UNA FRASE QUE LA DESCRIBA,40,20,18,18,4,0,1,PRESUPUESTO PARTICIPATIVO,2,-88,-88,-88,-88,-88,-88,1,1,2,2,2,2,2,2,2,1,INSTITUCIÓN EDUCATIVA FATIMA NUTIBARA,1,CENTRO DE DESARROLLO SOCIAL FATIMA NUTIBARA,"CDS, FATIMA NUTBARA- COLEGIO DEL BARRIO",CARRERA 65 A #32 D 10,5,5,5,5,5,5,5,5,5,1,1,2,2,2,2,1,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,40,40,NOS INTERESA EL APRENDIZAJE COLECTIVO  SIN DESCUIDAR PROCESOS PARTICULARES - SE BUSCA LA PARTICIPACIÓN ACTIVA EN CUALQUIER TIPO EXPRESION ARTISTICA,120,4,5,5,4,2,8,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,"MUESTRAS ARTÍSTICAS, CLAUSURA DE PROCESOS","PRESUPUESTO PARTICIPATIVO, UNIVERSIDAD DE ANTIOQUIA, ALCALDIA",JAC NUTIBARA,"MITOS Y LEYENDAS, CRREDORES ARTISTICS, AGENDA CULTURAL",6,2,1,2,2,2,1,10,2,1,2,2,2,NINGUN OTRO,1,1,1,1,1,1,2,2,2,1,2,1,2,-88,-88,-88,-88,3,2,2,1,2,2,1,1,1,4,1,1,1,1,1,1,-98,40,20,2,-88,8,TOCAR MUSICA Y BAILAR,3,MUSICA Y DANZA,1,20,"CONTINUIDAD, MOTIVACIÓN, INFORMACIÓN",2,-88,1,2,2,2,3,2,3,4,4,4,2,2,3,4,5,3,3,3,3,3,5,3,4,2,2,1,2,1,2,2,1,2,2,2,-88,-98,2,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,NINGUN OTRO,3,3,3,3,3,3,3,2,2,2,3,2,2,2,3,3,3,4,3,3,4,4,2,3,8,20,20,25,1,NINGUNO,1,3
72,2,5,1005011, CR 65 96 81 APT 101,9999999,3017537576,RADIO SUPER,INFORMAMOS PARA QUE LA COMUNIDAD PARTICIPE,4,0,0,0,4,0,1,"FERIA DE FLORES,INDER,Y EVENTOS CALLEJEROS",2,-88,-88,-88,-88,-88,-88,1,1,1,1,1,1,1,2,2,1,PARQUE DE BANDERAS Y EL OBELISCO,2,-88,SALON COMUNAL DE CASTILLA EL INDER Y EL OBELISCO,OBELISCO,5,5,5,5,5,5,5,5,5,1,1,2,2,1,2,1,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,10,6,EVENTOS,3,4,4,4,4,2,3,1,1,1,1,1,1,1,1,1,DINERO,PARTICIPAR EN JAC Y JAL,ALCALDIA JAC Y EL INDER,CONSEJOS CIUDADANOS,ALCALDIA DE MEDELLIN ACCIÓN COMUNAL Y EL INDER,1,4,1,2,2,13,9,13,1,1,2,1,1,TELEANTIOQUIA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,3,3,3,2,1,1,1,4,1,1,1,1,8,5,1,5,1,POSITIVOS,0,NINGUNO,2,-88,-88,-88,NO MI,1,1,5,3,3,5,6,5,3,1,2,1,1,1,1,1,1,1,5,3,1,4,4,2,1,2,2,2,2,2,2,2,1,2,-88,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NINGUN OTRO,2,2,2,1,2,2,2,2,3,3,3,3,3,3,2,3,2,3,3,3,2,2,8,-88,0,0,0,28,1,NO,0,0
73,2,2,1002007, CR 48 A 108 A 57,2581987,3148180047,COMITE CÍVICO DEINTEGRACIÓN Y PAZ,COMPROMISO,16,4,2,4,8,2,1,PARTICIPACIÓN CIUDADANA,1,2,1,1,2,2,2,1,2,1,1,1,1,1,2,2,2,-88,1,NO,"ACCIÓN COMUNAL, SEDE PROPIA ESPACIOPÚBLICO",CARRERA 48 # 108¹,5,5,5,5,1,1,5,5,5,2,-88,-88,-88,-88,-88,1,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,16,150,INTEGRACIÓN Y RECLAMÓ DEDERECHOS,4,4,1,4,4,2,8,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,VISIBILIZANDO Y ACOMPAÑAMIENTO,"PARTICIPACIÓN  CIUDADANA, ÁREA METROPOLITANA Y GOBERNACIÓN DE ANTIOQUIA","CONCEJO LOCAL DE PLANIFICACIÓN, AUDIENCIA PÚBLICA Y CABILDO POPULAR","CORPICOM, APC Y ANJU EVENTOS",6,3,1,2,2,7,5,10,2,2,2,2,1,VOZ A VOZ,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,1,4,8,1,25,10,"DESARROLLO LOCAL, PARTICIPACIÓN POLÍTICA Y DERECHOS HUMANOS",12,"VEEDURIAS, PARTICIPACIÓN EN ESCENARIOS DE ASIGNACIÓN PRESUPUESTAL",1,65,DAR CUENTAS CLARAS DERENDICIÓN Y DEMOSTRAR LA INCIDENCIA EN EL DESARROLLO EN EL TERRITORIO,1,CORREO ELECTRONICO,1,1,2,3,2,3,3,2,2,3,3,3,2,2,2,1,3,3,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,PORTALES DE CONTRATACIÓNL,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,NINGUN OTRO,2,3,3,1,1,1,2,1,1,2,2,3,2,1,2,4,3,4,4,4,4,4,6,8,0,2,2,46,1,NO,2,2
74,2,7,1007017, CL 77 F 91 B AV 107,9999999,3015253160,CORPORACIÓN CREANDO FUTURO ,SERVICIO A LA COMUNIDAD,650,400,100,100,50,0,1,"LA MESA DE PRIMERA INFANCIA DE LS COMUNA 3, UNIDAS DE NIÑEZ , ICBF ",2,-88,-88,-88,-88,-88,-88,1,1,2,2,1,1,1,1,1,1,UVA ,1,SEDES SOCIALES ,"UVA, JARDINES INFANTILES,COLEGIOS",CR 36 # 84-98,4,5,5,1,1,3,5,5,3,2,-88,-88,-88,-88,-88,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,180,400,"BUENA TRATO, VOLVER A LO SIMPLE",20,3,4,3,5,2,8,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,"BUEN TRATO,ESTILOS DE PARTICIPACIÓN","ALCALDÍA DE MEDELLÍN,SAN VICENTE , PROGRAMA BUEN COMIENZO ","JUNTA DE ACCIÓN COMUNAL, CABILDO ABIERTO","UNIVERSIDAD DE ANTIOQUIA,METRO SALUD,UNIDAS DE NIÑEZ",6,3,1,2,2,3,13,14,2,1,1,2,1,NINGUN OTRO,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,3,3,2,2,2,2,3,2,4,4,2,2,2,2,2,1,6,6,1,50,20,PROMOVER PARTICIPACIÓN DE NIÑOS Y NIÑAS ,30,"PROMOVER LA PARTICIPACIÓN DE LOS NIÑOS Y NIÑAS , DERECHOS ",1,0,DEMOSTRAR LA HONESTIDAD DE LA ORGANIZACION ,1,FACEBOOK,2,2,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,2,1,2,1,1,1,1,2,-88,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NINGUN OTRO,1,4,1,5,5,1,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,10,6,0,45,2,-88,3,1
