orgMiembros;orgFreq;orgProcesos;filtro;anuncio;S_1;O_4;O_91;O_91_other;O_5;O_46;O_47;O_7_1;O_7_2;O_7_3;O_7_4;O_7_5;O_88;O_88_other;O_87;O_89;O_90;O_8;O_9_1;O_9_2;O_9_3;O_9_4;O_9_5;O_9_6;O_9_7;O_9_other;O_11_1;O_11_2;O_11_3;O_11_4;O_11_5;O_11_6;O_11_7;O_11_8;O_11_9;O_12;O_13;O_17_1;O_17_2;O_17_3;O_17_4;O_17_5;O_17_8;O_17_7;O_18;O_19_1;O_19_2;O_19_3;O_19_4;O_19_5;O_19_6;O_19_7;O_19_8;O_19_9;O_20_1;O_20_2;O_20_3;O_20_4;O_20_5;O_20_6;O_20_7;O_20_other;O_25_1;O_25_2;O_25_3;O_25_4;O_25_5;O_22;O_23;O_23_other;O_34_1;O_34_2;O_34_3;O_34_4;O_34_5;O_60_6;O_60_7;O_60_10;O_66_1;O_66_2;O_66_3;O_66_4;O_66_5;O_66_6;O_66_7;O_66_other;O_67;O_68;O_69;O_70;O_71;O_72_1;O_72_2;O_72_3;O_72_4;O_72_5;O_72_6;O_72_7;O_72_8;O_72_other;O_10_1;O_10_2;O_10_3;O_10_4;O_10_5;O_10_6;O_16_1;O_16_2;O_16_3;O_16_4;O_16_5;O_16_6;O_16_7;O_16_8;O_16_9;O_26_1;O_26_2;O_26_4;O_26_5;O_26_6;O_26_7;O_26_3;O_26_9;O_92_1;O_92_2;O_92_4;O_92_5;O_92_6;O_92_7;O_92_3;O_92_9;O_28_1;O_28_2;O_28_3;O_28_4;O_28_5;O_28_6;O_28_7;O_28_other;O_36;O_36_other;O_37_1;O_37_2;O_37_3;O_37_4;O_37_5;O_38_1;O_38_2;O_38_3;O_38_4;O_38_5;O_38_6;O_38_7;O_38_8;O_38_9;O_44_1;O_44_2;O_44_3;O_44_4;O_44_5;O_44_6;O_44_7;O_44_8;O_44_9;O_44_10;O_48;O_49;O_24;O_50;O_52;O_54;O_55;O_58;O_59;O_64;O_65;O_75;O_76;O_77;O_78;O_79;O_80;O_81_1;O_81_2;O_81_3;O_81_4;O_81_5;O_81_6;O_81_7;O_82_1;O_82_2;O_82_3;O_82_4;O_82_5;O_82_6;O_82_7;O_41;O_45;O_40;O_61_1;O_61_2;O_61_3;O_61_4;O_61_5;O_62_1;O_62_2;O_62_3;O_62_4;O_62_5;O_62_6;O_74;O_93_1;O_93_2;O_93_3;O_93_4;O_93_5;O_93_6;comuna;zona;group_age;IPCM
Sí;Sí;Sí;3;N/A;7-ROBLEDO;club que promueve la participación de los jóvenes de manera sana;Otro;jovenes con caracter recreativo;28;4;4;14;14;0;0;0;Hombre;N/A;39;Sí;5;Sí;Sí;Sí;No;No;No;No;No;N/A;Sí;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;Sí;Sí;Sí;Sí;No;No;No;No;Sí;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;18;Otro;escuelas de participación ciudadana;No;No;No;No;No;Confía;Confía;Neutral;Sí;Sí;Sí;Sí;Sí;Sí;Sí;N/A;Algunas veces;Algunas veces;Mas o menos;Clara y comprensible;De utilidad para el trabajo en la comuna;No;No;No;No;No;No;No;No;en algunos progaramas se encuentre todo en otros proyectos es mas cerrada la información;No;No;No;No;No;No;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Otro;jovenes;No;Sí;No;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;No;No;Poca incidencia o efectividad;Poca incidencia o efectividad;Poca incidencia o efectividad;Poca incidencia o efectividad;Poca incidencia o efectividad;Poca incidencia o efectividad;No los hemos usado;Poca incidencia o efectividad;Poca incidencia o efectividad;No los hemos usado;Sí;25;5;2;3;No;0;Algunas veces;Nunca;Sí;No;Nunca;Nunca;Nunca;Algunas veces;Algunas veces;Siempre;Autoritario;Manipulador;Excluyente;Dictatorial;Pasivo;Apático;Delegativo;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Autosuficiente;Positiva;Empeorado;Sí, alto;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Insatisfecho (sensación percibida no alcanza las expectativas);Sí;Sí;Sí;Sí;Sí;Sí;robledo;Noroccidental;29 - 54;0.38737281264002
Sí;Sí;Sí;3;N/A;2-SANTA CRUZ;trabajo por el bienestar de la comunidad en especial por los animales mujeres y niños;Otro;animales mujeres y niños;25;0;0;0;0;10;10;5;Mujer;N/A;32;Sí;5;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;No;No;No;No;No;Sí;Sí;Sí;No;No;No;No;No;No;Sí;No;No;No;No;No;No;No;No;Sí;No;No;No;No;No;No;No;N/A;Ni de acuerdo, ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo, ni en desacuerdo;De acuerdo;40;Promoción o defensa derechos de mujeres;N/A;No;No;No;No;No;Neutral;Desconfía totalmente;Neutral;Sí;No;Sí;No;No;No;No;N/A;No consulta;Algunas veces;Si;De utilidad para el trabajo en la comuna;De utilidad para el trabajo en la comuna;Sí;No;Sí;No;No;No;Sí;No;N/A;No;No;No;No;No;Sí;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Otro;todo tipo de población;Sí;Sí;Sí;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;Ninguna incidencia o efectividad;No los hemos usado;No;N/A;4;0;3;No;0;Siempre;Nunca;Sí;No;Nunca;Casi siempre;Siempre;Siempre;Casi siempre;Siempre;Autoritario;Manipulador;Excluyente;Dictatorial;Pasivo;Apático;Delegativo;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Positiva;Permanecen igual;Sí, medio;Inequitativo;Inequitativo;Neutral;Inequitativo;Totalmente inequitativo;Inequitativo;Inequitativo;Totalmente inequitativo;Inequitativo;Inequitativo;Inequitativo;No ha realizado derechos de petición;Sí;Sí;Sí;Sí;Sí;Sí;santa cruz;Nororiental;29 - 54;0.483150711427596
Sí;Sí;Sí;3;N/A;4-ARANJUEZ;organización de mujeres abierto para mujeres victimas;Derechos humanos, convivencia y ciudadanía;N/A;5;0;0;0;0;0;3;2;Mujer;N/A;71;Sí;5;Sí;No;No;No;Sí;No;No;No;N/A;No;Sí;No;No;No;No;Sí;No;No;Sí;Sí;No;No;No;No;No;No;N/A;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;80;Promoción o defensa derechos de mujeres;N/A;No;No;No;No;No;Neutral;Neutral;Neutral;Sí;No;Sí;Sí;Sí;Sí;Sí;N/A;Casi siempre;Casi siempre;Si;De utilidad para el trabajo en la comuna;De utilidad para el trabajo en la comuna;No;No;No;No;No;No;No;Sí;N/A;No;No;No;No;No;No;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;No;No;No;No;No;No;No;No;No;No;No;No;Sí;No;No;No;No;No;No;No;No;No;No;N/A;Las mujeres;N/A;No;Sí;Sí;No;Sí;No;Sí;Sí;Sí;Sí;Sí;Sí;No;No;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;Ninguna incidencia o efectividad;Ninguna incidencia o efectividad;No los hemos usado;Sí;40;4;2;2;Sí;120;Siempre;Siempre;No;No;Nunca;Siempre;Siempre;Muy pocas veces;Siempre;Siempre;Democrático;Manipulador;Inclusivo;Dictatorial;Proactivo;Cooperativo;Autosuficiente;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Autosuficiente;Positiva;Empeorado;No;Inequitativo;Equitativo;Neutral;Inequitativo;Inequitativo;Neutral;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Insatisfecho (sensación percibida no alcanza las expectativas);Sí;Sí;Sí;Sí;Sí;Sí;aranjuez;Nororiental;55 +;0.441948516990071
Sí;Sí;Sí;3;N/A;13-SAN JAVIER;Tercera edad;Adulto mayor;N/A;38;6;10;0;0;0;0;38;Mujer;N/A;72;No;1;Sí;No;No;No;No;No;No;No;Jal infer;Sí;No;No;No;No;No;No;Sí;No;Sí;Sí;No;No;No;No;No;No;Sí;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;De acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;0;Otro;No se han mobilizado;No;No;No;No;No;Neutral;Confía totalmente;Confía;No;No;No;No;No;No;No;N/A;Muy pocas veces;Algunas veces;No acude a ejercicios de rendición de cuentas;No consulta;No se publica información;Sí;Sí;Sí;Sí;Sí;No;Sí;No;N/A;No;Sí;No;No;No;No;Algo dispuesto;Algo dispuesto;Algo dispuesto;Algo dispuesto;Algo dispuesto;Algo dispuesto;Algo dispuesto;Totalmente dispuesto;Algo dispuesto;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Ninguno;N/A;No;No;No;No;Sí;No;No;No;Sí;Sí;No;Sí;No;No;No los hemos usado;No los hemos usado;Ninguna incidencia o efectividad;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No;N/A;0;1;43;No;0;Muy pocas veces;Nunca;No;No;Algunas veces;Algunas veces;Muy pocas veces;Nunca;Algunas veces;Siempre;Muy democrático;Condescendiente;Muy inclusivo;Muy consultivo;Pasivo;Cooperativo;Autosuficiente;Democrático;Condescendiente;Muy inclusivo;Consultivo;Pasivo;Cooperativo;Autosuficiente;Positiva;Empeorado;Sí, alto;Neutral;Neutral;Neutral;Totalmente inequitativo;Totalmente inequitativo;Neutral;;;;;;Insatisfecho (sensación percibida no alcanza las expectativas);Sí;No;No;No;No;Sí;san javier;Centro occidental;55 +;0.515171719022173
Sí;Sí;Sí;3;N/A;11-LAURELES ESTADIO;gremio deportista sin animo de lugcro;Recreación y deporte;N/A;155;10;8;0;50;50;50;5;Hombre;N/A;39;No;10;Sí;Sí;No;No;No;No;No;No;N/A;No;No;No;No;No;No;No;Sí;No;No;No;No;No;No;No;No;No;Sí;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Ni de acuerdo, ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo, ni en desacuerdo;Ni de acuerdo, ni en desacuerdo;500;Otro;partido de futbol y parquez;No;No;No;Sí;No;Neutral;Neutral;Neutral;No;No;No;No;No;No;No;información de deportes actualizada;No consulta;No consulta;Mas o menos;De utilidad para el trabajo en la comuna;De utilidad para el trabajo en la comuna;Sí;Sí;No;No;No;No;No;No;N/A;No;No;No;No;No;No;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Otro;niños y jovenes;Sí;Sí;No;No;No;Sí;Sí;Sí;Sí;Sí;No;Sí;No;No;No los hemos usado;Poca incidencia o efectividad;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No;N/A;6;15;4;No;92;Algunas veces;Nunca;No;No;Nunca;Algunas veces;Algunas veces;Algunas veces;Casi siempre;Siempre;Democrático;Condescendiente;Inclusivo;Consultivo;Pasivo;Cooperativo;Autosuficiente;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Positiva;Permanecen igual;Sí, bajo;Neutral;Neutral;Inequitativo;Inequitativo;Neutral;Neutral;Neutral;Neutral;Inequitativo;Neutral;Neutral;No ha realizado derechos de petición;No;No;No;No;No;Sí;laureles;Centro occidental;29 - 54;0.570509674818687
Sí;Sí;Sí;3;N/A;8-VILLA HERMOSA;Empoderada y con compromiso;Otro;Todas las anteriores;132;30;25;0;7;15;60;50;Mujer;N/A;69;Sí;40;Sí;Sí;Sí;No;Sí;No;No;No;N/A;No;Sí;Sí;Sí;Sí;No;No;No;Sí;No;Sí;Sí;No;No;No;No;Sí;No;Sí;No;No;No;No;No;No;No;No;No;No;No;No;Sí;No;No;No;N/A;Ni de acuerdo, ni en desacuerdo;En desacuerdo;Totalmente de acuerdo;De acuerdo;Ni de acuerdo, ni en desacuerdo;80;Otro;Todas las anteriores;No;Sí;No;No;No;Confía;Desconfía;Neutral;No;No;Sí;Sí;Sí;Sí;Sí;N/A;Algunas veces;Algunas veces;No;Amplia y suficiente;De utilidad para el trabajo en la comuna;No;No;No;No;No;No;No;No;Información desactualizada;No;Sí;Sí;No;No;No;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;No;No;No;No;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Sí;Sí;Sí;N/A;Grupos etarios;N/A;No;Sí;No;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;No;No los hemos usado;Poca incidencia o efectividad;Ninguna incidencia o efectividad;No los hemos usado;Poca incidencia o efectividad;Poca incidencia o efectividad;No los hemos usado;Poca incidencia o efectividad;Poca incidencia o efectividad;No los hemos usado;Sí;50;30;30;40;Sí;78;Casi siempre;Algunas veces;No;No;Casi siempre;Casi siempre;Algunas veces;Casi siempre;Siempre;Casi siempre;Autoritario;Muy manipulador;Inclusivo;Consultivo;Pasivo;Cooperativo;Autosuficiente;Muy democrático;Muy condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Positiva;Permanecen igual;No;Neutral;Neutral;Inequitativo;Inequitativo;Neutral;Inequitativo;;Totalmente inequitativo;Totalmente inequitativo;Inequitativo;Totalmente inequitativo;Insatisfecho (sensación percibida no alcanza las expectativas);Sí;Sí;Sí;Sí;Sí;Sí;villa hermosa;Centro oriental;55 +;0.371044976246907
Sí;Sí;Sí;3;N/A;11-LAURELES ESTADIO;mejoramiento de calidad de vida de los asociados;Otro;recicladores;520;0;0;0;100;220;100;100;Mujer;N/A;57;Sí;5;Sí;No;No;No;No;No;No;No;secretaria de medio ambiente, secretaria de mujeres, secretaria de movilidad;No;No;No;No;No;No;No;No;Sí;No;No;No;No;No;No;No;No;N/A;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;20;Otro;movilidad y secretaria de mujeres;No;No;No;No;No;Neutral;Neutral;Neutral;No;No;No;No;No;No;No;decretos y POT;No consulta;No consulta;No;No consulta;Clara y comprensible;No;No;No;No;No;No;No;No;N/A;No;No;No;No;No;No;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;defensa de los derechos de recicladores y accesos a ciertos materiales;Otro;recicladores;Sí;Sí;Sí;No;No;Sí;Sí;Sí;Sí;Sí;No;Sí;No;No;No los hemos usado;Bastante incidencia o efectividad;No los hemos usado;Bastante incidencia o efectividad;Bastante incidencia o efectividad;No los hemos usado;Bastante incidencia o efectividad;Bastante incidencia o efectividad;No los hemos usado;No los hemos usado;No;N/A;10;16;1;No;0;Nunca;Nunca;No;No;Nunca;Nunca;Nunca;Nunca;Nunca;Siempre;Democrático;Condescendiente;Excluyente;Consultivo;Proactivo;Cooperativo;Delegativo;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Positiva;No sabe, no responde;Sí, alto;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;;;;;;;Insatisfecho (sensación percibida no alcanza las expectativas);No;No;No;No;No;No;laureles;Centro occidental;55 +;0.590575945366357
Sí;Sí;Sí;3;N/A;9-BUENOS AIRES;Construcción conjunta de la comuna;Jóvenes;N/A;120;35;15;0;17;10;8;0;Mujer;N/A;29;Sí;10;Sí;Sí;Sí;No;No;No;No;No;N/A;Sí;Sí;No;Sí;Sí;Sí;Sí;No;Sí;Sí;Sí;No;No;No;No;No;No;N/A;No;No;No;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;De acuerdo;En desacuerdo;Totalmente en desacuerdo;Ni de acuerdo, ni en desacuerdo;De acuerdo;150;Otro;Cultural;Sí;Sí;No;No;No;Neutral;Desconfía;Neutral;Sí;No;No;Sí;Sí;Sí;Sí;N/A;Casi siempre;Siempre;Mas o menos;De fácil acceso;De fácil acceso;No;Sí;Sí;Sí;Sí;Sí;Sí;No;N/A;No;No;Sí;No;No;Sí;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;No;No;No;No;No;No;No;No;No;No;No;No;No;Sí;No;No;No;No;No;No;No;No;No;N/A;Otro;Jóvenes;No;Sí;No;No;No;No;No;No;Sí;Sí;Sí;Sí;No;No;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;Bastante incidencia o efectividad;No los hemos usado;Bastante incidencia o efectividad;No los hemos usado;Sí;60;8;15;5;No;30;Algunas veces;Muy pocas veces;No;No;Nunca;Nunca;Siempre;Casi siempre;Nunca;Siempre;Autoritario;Manipulador;Excluyente;Dictatorial;Pasivo;Apático;Autosuficiente;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Positiva;Mejorado;Sí, alto;Neutral;Neutral;Equitativo;Inequitativo;Neutral;Neutral;;Neutral;Equitativo;Inequitativo;Neutral;No ha realizado derechos de petición;Sí;Sí;Sí;Sí;Sí;Sí;buenos aires;Centro oriental;29 - 54;0.303223543814084
Sí;Sí;Sí;3;N/A;4-ARANJUEZ;nuestra pasión es servir;Otro;las familias con énfasis diferentes cada mes;60;0;0;10;10;10;20;10;Mujer;N/A;35;Sí;6;Sí;No;No;No;No;No;No;No;secretaria de participación ciudadana;No;Sí;Sí;No;Sí;No;No;No;No;No;No;No;No;No;No;No;No;Sí;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;De acuerdo;Totalmente en desacuerdo;Ni de acuerdo, ni en desacuerdo;De acuerdo;Ni de acuerdo, ni en desacuerdo;400;Otro;alfabetización de adultos mayores virtual;No;No;No;No;No;Neutral;Neutral;Neutral;Sí;No;No;Sí;No;No;Sí;N/A;Algunas veces;Muy pocas veces;Si;De utilidad para el trabajo en la comuna;De utilidad para el trabajo en la comuna;No;No;No;No;No;No;No;Sí;N/A;No;No;No;No;No;No;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Otro;grupo familiar;No;Sí;No;No;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;Sí;No;No los hemos usado;Poca incidencia o efectividad;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;Poca incidencia o efectividad;No los hemos usado;Sí;67;1;8;0;No;35;Algunas veces;Nunca;No;No;Algunas veces;Siempre;Siempre;Nunca;Nunca;Siempre;Autoritario;Manipulador;Inclusivo;Consultivo;Pasivo;Apático;Delegativo;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Positiva;Permanecen igual;Sí, medio;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;;;;;;;No ha realizado derechos de petición;Sí;Sí;Sí;Sí;Sí;Sí;aranjuez;Nororiental;29 - 54;0.479534144481866
Sí;Sí;Sí;3;N/A;3-MANRIQUE;calidad ciudadana;Otro;"educación; salud";28;0;0;0;0;3;20;5;Mujer;N/A;38;Sí;28;Sí;No;No;No;No;No;No;No;secretaria de participación ciudadana;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;No;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;De acuerdo;4;Otro;protesta;No;No;No;No;No;Neutral;Neutral;Neutral;No;No;Sí;No;No;No;No;N/A;No consulta;No consulta;Mas o menos;Clara y comprensible;No se publica información;Sí;Sí;Sí;Sí;Sí;Sí;Sí;No;N/A;Sí;Sí;No;No;No;No;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Otro;niños y comunidad en general;No;Sí;No;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;No;No los hemos usado;Poca incidencia o efectividad;Poca incidencia o efectividad;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;Poca incidencia o efectividad;Poca incidencia o efectividad;No los hemos usado;Sí;28;0;0;0;No;0;Siempre;Algunas veces;Sí;Sí;Nunca;Algunas veces;Algunas veces;Siempre;Algunas veces;Siempre;Autoritario;Manipulador;Excluyente;Dictatorial;Proactivo;Cooperativo;Autosuficiente;Democrático;Manipulador;Inclusivo;Dictatorial;Pasivo;Cooperativo;Delegativo;Negativa;Permanecen igual;No;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Satisfecho (sensación percibida coincide con las expectativas);No;No;No;No;No;No;manrique;Nororiental;29 - 54;0.396637717213582
Sí;Sí;Sí;3;N/A;13-SAN JAVIER;servicio al ser humano;Derechos humanos, convivencia y ciudadanía;N/A;50;0;0;40;7;0;3;0;Mujer;N/A;50;Sí;3;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;No;No;No;No;No;No;No;Sí;No;No;No;No;No;Sí;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;50;Otro;alimentacion de niños y regalos de navidad para niños;No;No;No;No;No;Neutral;Neutral;Neutral;No;No;No;No;No;No;No;N/A;No consulta;No consulta;No acude a ejercicios de rendición de cuentas;No consulta;De utilidad para el trabajo en la comuna;No;No;No;No;No;No;No;No;N/A;No;No;No;No;No;No;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Otro;mujeres y niños;No;Sí;No;No;Sí;No;No;No;No;Sí;No;No;No;No;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No;N/A;0;0;1;No;0;Nunca;Nunca;No;No;Nunca;Algunas veces;Algunas veces;Nunca;Nunca;Siempre;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Positiva;Empeorado;Sí, alto;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;;;;;;;No ha realizado derechos de petición;No;No;No;No;No;No;san javier;Centro occidental;29 - 54;0.619847158571392
Sí;Sí;Sí;3;N/A;14-POBLADO;participación;Derechos humanos, convivencia y ciudadanía;N/A;120;10;10;20;20;30;30;20;Hombre;N/A;43;Sí;5;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;No;No;No;No;No;No;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;120;Otro;cultura;No;No;No;No;No;Neutral;Confía;Neutral;No;No;No;No;No;No;No;N/A;No consulta;No consulta;No acude a ejercicios de rendición de cuentas;No se publica información;De utilidad para el trabajo en la comuna;No;No;No;No;No;No;No;Sí;N/A;No;No;No;No;No;No;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;No;No;No;No;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Otro;comunidad barrial de barrio colombia;No;Sí;No;No;No;No;No;No;Sí;Sí;No;Sí;No;No;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;Bastante incidencia o efectividad;No los hemos usado;No los hemos usado;No;N/A;0;0;0;No;0;Nunca;Nunca;No;No;Algunas veces;Siempre;Siempre;Siempre;Algunas veces;Siempre;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Positiva;Permanecen igual;Sí, bajo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Muy satisfecho (sensación percibida que excede a las expectativas);No;No;No;Sí;No;No;el poblado;Suroriental;29 - 54;0.529581905086782
